pair,start_date,end_date,total_return,annual_return,annual_volatility,sharpe_ratio
00878-2382,2022-10-14,2024-10-14,0.015810684605373673,0.008252416839987935,0.04367075966491334,0.2098548573008401
00878-1303,2022-10-14,2024-10-14,-0.03238964559025382,-0.017102175583764527,0.08239728179078817,-0.16735476144229464
00878-4128,2022-10-14,2024-10-14,0.12751938814806524,0.06489850560967073,0.06613766242746642,0.9836293285357952
00878-2002,2022-10-14,2024-10-14,-0.048166201955520724,-0.025531087139126888,0.10581894693428558,-0.18996162448860057
00878-3042,2022-10-14,2024-10-14,-0.13418228132474833,-0.0727065462635279,0.053302533708631396,-1.3892102637850083
00878-6271,2022-10-14,2024-10-14,0.036915373475052506,0.019173343382682204,0.07385609427563156,0.2948825069605946
00878-8927,2022-10-14,2024-10-14,-0.13720226277806055,-0.07440249035913502,0.05947521719892882,-1.2700115649548493
00878-6589,2022-10-14,2024-10-14,0.009048627540644165,0.004730487001747506,0.0653867716730693,0.10473802157511661
00878-2103,2022-10-14,2024-10-14,0.06850222257665503,0.03532259686177099,0.14901562932005655,0.31183432081405
00878-2498,2022-10-14,2024-10-14,0.15474287917804477,0.07829248265223662,0.07619798829517153,1.0272367721851512
00878-2851,2022-10-14,2024-10-14,0.03429815405771476,0.017824810541779364,0.06587062367705432,0.30099598266893823
00878-2886,2022-10-14,2024-10-14,0.028658779659218005,0.014913567238208655,0.06917130958319233,0.24863306088430764
00878-5871,2022-10-14,2024-10-14,0.019210937244535615,0.010019176700307705,0.06111875964011539,0.19354038324868672
00878-8210,2022-10-14,2024-10-14,0.12430002700422307,0.06330444489514495,0.049966281971303074,1.2532687904981383
00878-6188,2022-10-14,2024-10-14,0.03952611167964168,0.020516923230729216,0.03982463881531879,0.5298007566692974
00878-1802,2022-10-14,2024-10-14,-0.010647445448176222,-0.005592500600528979,0.1453784771698952,0.034125732138766185
2645-6147,2022-10-14,2024-10-14,0.055897103925573524,0.028905661506708497,0.14758995080576925,0.2678422456795197
2645-2247,2022-10-14,2024-10-14,0.36701926191303097,0.17796798717890497,0.13499939512121836,1.2792787082722588
2645-5289,2022-10-14,2024-10-14,0.24061015585391912,0.11958313710340207,0.15791322768359342,0.7936839455877955
2645-4147,2022-10-14,2024-10-14,0.40151601494095374,0.1934493044901632,0.1396832190612312,1.3352232516510156
2645-6803,2022-10-14,2024-10-14,0.38474408292960804,0.18594540170610485,0.1520709229921727,1.1976799636489608
2645-2882B,2022-10-14,2024-10-14,0.2810498817962764,0.13855696822285124,0.1708965387327751,0.8434337593890333
2645-6282,2022-10-14,2024-10-14,0.44425236715619326,0.2123789145591572,0.24014124911255755,0.9199174889115258
2645-5371,2022-10-14,2024-10-14,0.36743538865862047,0.17815583600356627,0.15934313537226394,1.10821742938764
2645-2634,2022-10-14,2024-10-14,0.3002391667525564,0.14746051345473346,0.1071767712936295,1.3361124646841713
2645-1905,2022-10-14,2024-10-14,0.12146408364346599,0.06189843155027466,0.37729005767405116,0.34197774932650776
2645-2421,2022-10-14,2024-10-14,0.08986150391675672,0.046114325275373985,0.1316565766994453,0.40833231475727677
2645-3675,2022-10-14,2024-10-14,0.13496972576605135,0.0685792374257802,0.14556126460111696,0.5280418328693814
2645-2352,2022-10-14,2024-10-14,0.16942849466228715,0.08545540626888376,0.22197161450536218,0.4796044831088721
2645-1722,2022-10-14,2024-10-14,0.05768937825577524,0.02982027696707095,0.17674952417626194,0.256347065735836
2645-5009,2022-10-14,2024-10-14,0.11818674788902335,0.060271473104001765,0.18982072928742916,0.4004543854847357
2645-2206,2022-10-14,2024-10-14,0.22387753439454766,0.11164640192107336,0.16602047960129274,0.720105397365419
2645-8926,2022-10-14,2024-10-14,-0.10273061726894636,-0.05520871375628136,0.19928380404242896,-0.18410938897828538
2645-3380,2022-10-14,2024-10-14,0.18937122148538332,0.0951142783764633,0.3418954266291533,0.44004155714244075
2889-3406,2022-10-14,2024-10-14,-0.07449258266688571,-0.039745955680148215,0.0878338292921107,-0.41657440831778575
2889-6768,2022-10-14,2024-10-14,0.08967907109701438,0.04602258002757063,0.0770814613837266,0.6213682281906291
2889-2451,2022-10-14,2024-10-14,0.004181996621618147,0.002188807015069218,0.07330967638328649,0.0656040157078031
2889-2867,2022-10-14,2024-10-14,-0.003240914627520271,-0.0016992548306369207,0.1014581933076343,0.034795813387011765
2889-9933,2022-10-14,2024-10-14,0.1309247914775371,0.06658232819500896,0.08235528363022761,0.8230383708290471
2889-9940,2022-10-14,2024-10-14,0.011054743174292314,0.005776515525131876,0.05579212434960852,0.1311220374640561
2889-2545,2022-10-14,2024-10-14,-0.10896209091793652,-0.05865204739500132,0.08725917752294415,-0.6478925689058799
2889-1514,2022-10-14,2024-10-14,-0.07826648615033367,-0.04179936105115813,0.06411588024824148,-0.6338753272643874
2889-2393,2022-10-14,2024-10-14,-0.008207285288033692,-0.00430830150737598,0.05560676564031458,-0.04991730486194428
2889-2227,2022-10-14,2024-10-14,-0.06619030260383625,-0.035242615201307226,0.07073227630530175,-0.4716812920643968
2889-2597,2022-10-14,2024-10-14,-0.06085479099718597,-0.03235857156899974,0.07472110346272917,-0.4023309242997023
2889-2362,2022-10-14,2024-10-14,-0.10638961559870556,-0.0572291862051685,0.08971501032811632,-0.6108637446199859
2889-2809,2022-10-14,2024-10-14,0.03688127269973627,0.019155783247283356,0.0800318894132459,0.27626070345398196
2889-3491,2022-10-14,2024-10-14,-0.17075123291204927,-0.09343637031172336,0.07958464101756679,-1.1911738562689609
2889-1442,2022-10-14,2024-10-14,-0.12409554130029884,-0.06706240569559528,0.07610635032079609,-0.8726325665790368
2889-2348,2022-10-14,2024-10-14,-0.017868580871729267,-0.009401675356652072,0.06486020551824391,-0.11325490118434414
2889-6670,2022-10-14,2024-10-14,0.0013993782243107886,0.000732902125160062,0.03682808729924876,0.038245469548625045
2889-2359,2022-10-14,2024-10-14,-0.12434891548420608,-0.06720380380183726,0.08646193984906532,-0.7601169746712377
2889-2548,2022-10-14,2024-10-14,-0.01387666466639005,-0.007294283485831969,0.07045306814990569,-0.06888970472758638
2889-5434,2022-10-14,2024-10-14,-0.001205250860544433,-0.0006316224703314948,0.046403894842783004,0.009614060701754634
2889-2367,2022-10-14,2024-10-14,-0.05470782289958331,-0.02904555877938502,0.06585383169619285,-0.4147430263302215
2889-8070,2022-10-14,2024-10-14,0.00039115821373362884,0.00020491204418009615,0.08459590287163932,0.04388639194438907
2889-2880,2022-10-14,2024-10-14,-0.028517939176801833,-0.015043666906356485,0.07719833732831853,-0.1581257139549019
2889-2101,2022-10-14,2024-10-14,-0.11889402033845833,-0.06416393375390046,0.10511803623252422,-0.5781087353194523
2889-2317,2022-10-14,2024-10-14,-0.059873366608836354,-0.03182892517115149,0.06274661211757028,-0.4840542637049123
2889-2504,2022-10-14,2024-10-14,-0.011840062275284545,-0.006220695472040009,0.06006952912377876,-0.07394064271402
2889-3030,2022-10-14,2024-10-14,-0.1002338140113595,-0.053832247917276276,0.05718459228977746,-0.9389306932567867
2889-2501,2022-10-14,2024-10-14,-0.11798131938049586,-0.06365618536629643,0.08863844264984096,-0.6965234061106717
2889-5508,2022-10-14,2024-10-14,0.007505950133381676,0.0039254307755597065,0.0950103343546852,0.08841124443842363
2889-5534,2022-10-14,2024-10-14,-0.035236971888059646,-0.018618545362655378,0.06712777087115651,-0.24661313292356626
2889-5522,2022-10-14,2024-10-14,0.02751198901476615,0.014320624671433297,0.05683845070667209,0.2784815649555198
2889-6177,2022-10-14,2024-10-14,0.07768275746674475,0.0399735106796829,0.06516173095745278,0.6338709754165083
2889-2884,2022-10-14,2024-10-14,0.07148245298674907,0.036834477549444855,0.09346278096489666,0.4327586505557875
6806-00919,2022-10-14,2024-10-14,0.08283150209250897,0.04257364101835542,0.42574496580411003,0.3089639503499777
6806-3376,2022-10-14,2024-10-14,0.2658703743313764,0.13146882767760937,0.20690130933367482,0.700030149054115
6806-2530,2022-10-14,2024-10-14,0.055327444872710976,0.028614804043418245,0.2311310916435239,0.23770938349174828
6806-3362,2022-10-14,2024-10-14,0.03997375097036291,0.020747133111829724,0.18615136629682055,0.20421359076232207
6806-2337,2022-10-14,2024-10-14,-0.07211075660246995,-0.03845204008570613,0.5245504105756232,0.19863272278052094
6806-2451,2022-10-14,2024-10-14,-0.24060701421171787,-0.1342840419170556,0.21925799817149577,-0.5457085685345705
6806-6196,2022-10-14,2024-10-14,0.11119518503195755,0.05679306619966318,0.20661626087338456,0.3709828170880325
6806-2441,2022-10-14,2024-10-14,0.37742038027531577,0.18265514942655445,0.34205343207739936,0.6587369405567797
6806-4743,2022-10-14,2024-10-14,-0.2836356348891012,-0.16034002009031378,0.20702713709687093,-0.7391051556760663
6806-9930,2022-10-14,2024-10-14,-0.03138980707527212,-0.016570206480494492,0.244558530153485,0.05409891982319276
6806-2520,2022-10-14,2024-10-14,-0.19945545794235003,-0.11001468564856132,0.2687434954502596,-0.29805350973585065
6806-1215,2022-10-14,2024-10-14,0.13083718249642184,0.06653903967259832,0.18085472337291847,0.4471685057939938
6806-3563,2022-10-14,2024-10-14,-0.03883587087657181,-0.0205382238790301,0.1705615574008191,-0.03586916927356092
6806-9940,2022-10-14,2024-10-14,0.11372743885531642,0.058054100534893384,0.4459477279089936,0.35571958959825084
6806-1104,2022-10-14,2024-10-14,0.09642545160758,0.04941047677208429,0.5679437771963682,0.39526400772453557
6806-4915,2022-10-14,2024-10-14,0.016246728072469154,0.008479140776505158,0.22956774895564078,0.15294867522959374
6806-1514,2022-10-14,2024-10-14,0.04815898302743629,0.024948309838234366,0.16615813719045683,0.232689237206498
6806-00830,2022-10-14,2024-10-14,0.7554354611642953,0.3428741536928604,0.2948988723888238,1.145914177114113
6806-3711,2022-10-14,2024-10-14,0.11118152874221775,0.05678626181179381,0.18732119802436792,0.3896511136390361
6806-6278,2022-10-14,2024-10-14,0.16356281783544313,0.08259958231917358,0.225481742263722,0.4612506967186562
6806-4904,2022-10-14,2024-10-14,-0.13912063966461485,-0.07548126972707919,0.2656261529178479,-0.15856436443446967
6806-6691,2022-10-14,2024-10-14,0.08684796407805928,0.04459788122533593,0.18629625434128763,0.32492768731756105
6806-4938,2022-10-14,2024-10-14,0.0363621086831567,0.018888406667564025,0.2086042554384756,0.19474086976838909
6806-4128,2022-10-14,2024-10-14,-0.3665036302843611,-0.21271484943464147,0.4322294610686973,-0.328965354941935
6806-2439,2022-10-14,2024-10-14,-0.10326732198408697,-0.05550483240415945,0.1977329852505882,-0.1885320206270983
6806-2404,2022-10-14,2024-10-14,-0.22388063395920932,-0.12434584344124842,0.1875752860364421,-0.6110639358242527
6806-6139,2022-10-14,2024-10-14,-0.30687120270906737,-0.17472048025068457,0.20430293374576275,-0.8346692457548807
6806-3042,2022-10-14,2024-10-14,-0.2095019171052307,-0.11588375630483473,0.2047939058339279,-0.49765400708744423
6806-8112,2022-10-14,2024-10-14,-0.0875825261692405,-0.04688548265106535,0.22232651417496324,-0.10347354475718593
6806-3293,2022-10-14,2024-10-14,0.2086500364047451,0.10437856775268237,0.18919675353600404,0.6194109006851249
6806-2428,2022-10-14,2024-10-14,0.12186216951491989,0.06209589792182327,0.15353953314886337,0.46910259898886403
6806-1231,2022-10-14,2024-10-14,0.33015268022381433,0.1612161004588085,0.1994125259467916,0.8466319801123567
6806-2704,2022-10-14,2024-10-14,0.08919972961079715,0.045781484909337575,0.2290425837670317,0.3095348308701087
6806-6589,2022-10-14,2024-10-14,-0.21951167846395014,-0.1217668131937207,0.2502449159980596,-0.39171058509239354
6806-1609,2022-10-14,2024-10-14,0.26258626943481506,0.12992998468716,0.2905833638923039,0.5646336471722521
6806-2539,2022-10-14,2024-10-14,-0.06847932990074533,-0.0364823243837084,0.2325390594487974,-0.042268798099519445
6806-2101,2022-10-14,2024-10-14,-0.16892645176003712,-0.09239176459024032,0.3199121177859664,-0.1415976014471772
6806-6414,2022-10-14,2024-10-14,0.1482754831842511,0.07512425463974391,0.16365563129144298,0.5241425604556526
6806-3034,2022-10-14,2024-10-14,0.006758714495762228,0.0035352700294481016,0.15196057384750009,0.10057618351985288
6806-2855,2022-10-14,2024-10-14,0.000591824858788615,0.00031001841891915404,0.545563964822704,0.25076210985760894
6806-2845,2022-10-14,2024-10-14,-0.3186268599458448,-0.18208346817905907,1.1547224070856177,0.29270782907691895
6806-2886,2022-10-14,2024-10-14,0.7243281827480332,0.3303539284328347,0.2654774989382729,1.2034973458744707
6806-2892,2022-10-14,2024-10-14,0.6007053018396106,0.2795005452635345,1.3047549771135394,0.7153972152716719
6806-9939,2022-10-14,2024-10-14,0.12853233093884425,0.06539961407107625,0.18631036826926664,0.4343855214533656
6806-5534,2022-10-14,2024-10-14,-0.21779103340548048,-0.12075298943388427,0.21182403184091492,-0.49988315720834053
6806-00900,2022-10-14,2024-10-14,-0.3169291473636536,-0.18101641451704753,0.6043159206547298,-0.01773687821449879
6806-2891,2022-10-14,2024-10-14,0.12676849300527065,0.06452689523937495,0.36618331377935825,0.3484381657243158
6806-6605,2022-10-14,2024-10-14,-0.2431631526511903,-0.13581194955447853,0.19569354439968936,-0.6457532797773726
6806-00915,2022-10-14,2024-10-14,-0.058224436163339534,-0.03093963735812048,0.2909886818588805,0.03565746253968218
5880-8478,2022-10-14,2024-10-14,0.1882918007139034,0.09459346502689445,0.06130586793964656,1.5045238332777875
5880-1904,2022-10-14,2024-10-14,0.15027410653304957,0.07610423904418899,0.05714362057955565,1.311791983114208
5880-2207,2022-10-14,2024-10-14,0.09591240994487889,0.04915318685368233,0.05075137970836188,0.9704101238825396
3017-2530,2022-10-14,2024-10-14,-0.9814587889412015,-0.8762164917853251,2.5250321421197395,-0.17189090191881268
3017-3362,2022-10-14,2024-10-14,-0.060735787893265995,-0.03229433499639612,0.6341499392792124,0.2784563014923357
3017-2337,2022-10-14,2024-10-14,6618.633071029208,99.40780139637243,6.056716494606727,1.0192625220573786
3017-6196,2022-10-14,2024-10-14,26.97486182345014,4.727618209834192,1.1845703325092847,1.930802353066711
3017-9930,2022-10-14,2024-10-14,2.5423791749357805,0.9399045281279967,2.431531111835149,1.3094388762386957
3017-4743,2022-10-14,2024-10-14,-0.19813754554137977,-0.10924737847539422,0.737935195634392,0.2805570227243731
3017-3563,2022-10-14,2024-10-14,-0.13198337024784568,-0.07147346543370249,0.356409636593459,-0.028676941570033265
3017-6023,2022-10-14,2024-10-14,6.856285787493882,1.9445027228960128,0.4978328106570515,2.405199631519256
3017-4915,2022-10-14,2024-10-14,-0.2893041583344232,-0.16382752934292302,1.662851195506237,1.1357903344254812
3017-1514,2022-10-14,2024-10-14,-0.9458837046892152,-0.7830399498298513,1.126952407873007,-0.6937478972784192
3017-00830,2022-10-14,2024-10-14,-0.9103812052628752,-0.7174124928843704,2.0061036275177653,0.4266644075414161
3017-3711,2022-10-14,2024-10-14,0.385911529252449,0.1864691232408462,0.901994844786551,0.6962464534233237
3017-4938,2022-10-14,2024-10-14,-0.5200766343331197,-0.3192882644964822,0.8868399450373826,0.10669268185540948
3017-4128,2022-10-14,2024-10-14,228.08252406107735,16.23534193918341,3.4083326324053744,0.3923734767787269
3017-6139,2022-10-14,2024-10-14,-0.4297701812557343,-0.254937893879751,0.5156169580808194,-0.3137611418020732
3017-3042,2022-10-14,2024-10-14,53.24314501970762,7.102854800185758,1.404474854336696,2.06622570175394
3017-3293,2022-10-14,2024-10-14,0.5253292891620673,0.24757239924099914,0.2789226364954479,0.922871644167255
3017-9958,2022-10-14,2024-10-14,-0.30305731896398014,-0.1723445025874901,0.6077057213294434,0.016320285723137918
3017-6589,2022-10-14,2024-10-14,-0.39521417275348747,-0.2316143964068612,1.0960997469780451,0.48173359988673536
3017-1609,2022-10-14,2024-10-14,0.2929502284185719,0.14408597015871588,2.9202387680464565,0.5206989869817799
3017-2498,2022-10-14,2024-10-14,146.32508441320803,12.676615724063419,2.711206940197226,1.6898317524237425
3017-2539,2022-10-14,2024-10-14,6.56534626829412,1.8868612092258334,2.2089899503312203,1.1399211439095667
3017-6005,2022-10-14,2024-10-14,8450.540804909977,113.11827203204221,3.963114075169454,1.2162825457204913
3017-2101,2022-10-14,2024-10-14,-0.9957898178198835,-0.943068715137206,3.217606626313395,-0.41538023147738107
3017-5871,2022-10-14,2024-10-14,0.8884045803975221,0.39523880827789515,0.6571914224283796,0.8836164369832482
3017-00900,2022-10-14,2024-10-14,-0.8417282738306918,-0.6193195403125393,4.734391914575072,-0.20072792221842162
3017-6605,2022-10-14,2024-10-14,-0.05107752116654692,-0.02709376236677325,0.4838791976140432,0.18447519670630208
3017-2885,2022-10-14,2024-10-14,-0.9859556965035383,-0.8929813255656956,2.5600351290829755,0.8209789585637887
3017-00915,2022-10-14,2024-10-14,-0.9995708260667846,-0.9827889287787117,3.7013719076005214,0.4821448717158502
6147-8150,2022-10-14,2024-10-14,0.20498376012965588,0.10262221395611268,0.10007885371082476,1.0259044992321484
6147-6285,2022-10-14,2024-10-14,-0.0020058087618474068,-0.0010513625621863993,0.0678363124610653,0.01835528381129014
6147-5388,2022-10-14,2024-10-14,0.044613243382550904,0.023130337479063713,0.06399534477206538,0.3892025956922516
6147-6643,2022-10-14,2024-10-14,-0.041503630508911975,-0.021963435445039883,0.06390209363729127,-0.315655140834305
6147-2882B,2022-10-14,2024-10-14,0.0955252892423559,0.048959008218403446,0.09761490459882774,0.538397418987934
6147-3260,2022-10-14,2024-10-14,-0.0001250112640840764,-6.549641596857055e-05,0.09201137387949201,0.04578917495536911
6147-3264,2022-10-14,2024-10-14,0.14999999533878597,0.07596988217571686,0.1055671042399577,0.7446195326731107
6147-6679,2022-10-14,2024-10-14,0.1094569883747769,0.055926671494322726,0.06826265884845752,0.8311530873609502
6147-6531,2022-10-14,2024-10-14,0.057155515433127094,0.02954791865764542,0.0666215642668641,0.47026479958537043
6147-8086,2022-10-14,2024-10-14,0.0633043042808873,0.032680863315976534,0.061578008896579425,0.5528982958758747
6147-1722,2022-10-14,2024-10-14,0.015862408487006284,0.008279313466027557,0.08764306222889269,0.1378981983403872
6147-2204,2022-10-14,2024-10-14,0.15116202674697005,0.07653935261253195,0.10328055497297446,0.7634810731404613
6147-2329,2022-10-14,2024-10-14,8.964731252075234e-05,4.6965988936182966e-05,0.07191532318730913,0.0362570911020597
6147-8016,2022-10-14,2024-10-14,0.032269660067506235,0.01677850294814904,0.07028546134181136,0.27244800755348864
6147-3592,2022-10-14,2024-10-14,0.330056749634517,0.1611722239981253,0.11175520068465956,1.3914124103318553
6147-3596,2022-10-14,2024-10-14,0.04191882054153421,0.02174688716618753,0.06334602101525823,0.37117085640867714
6147-6412,2022-10-14,2024-10-14,0.08839563326379785,0.045376933871648185,0.11411270791682107,0.4440538865672701
2308-1216,2022-10-14,2024-10-14,-0.007269615267403678,-0.0038152278942808586,0.258935814380923,0.11566710465938354
2308-3013,2022-10-14,2024-10-14,0.40218883998817556,0.19374943759728766,0.19717573575306027,0.9949026237566907
